Area,RoomFloor,TopFloor,Price,Address,RoomArea,KitchenArea,BuildDate,BathroomNum,BathroomType,BalconyNum,BalconyType,Repair,TypeofBuilding,TypeofMaterial,Heating,GasSupply
38,3,5,2590000,"Калининградская область, Калининград, р-н Центральный, Чкаловск мкр, улица Докука",,,2009,1, совмещенный,1, лоджия,Косметический,Кирпичный,,,
38.41,2,8,2649000,"Калининградская область, Калининград, р-н Центральный, Красносельская улица, 57",14.9,10.4,2018,1, совмещенный,1, лоджия,Без ремонта,Кирпичный,,,
41,2,5,2600000,"Калининградская область, Калининград, р-н Центральный, улица Младшего лейтенанта Родителева, 16",30,7.3,1995,1, совмещенный,1, балкон,Косметический,,,,
38.41,2,8,2649000,"Калининградская область, Калининград, р-н Центральный, Красносельская улица, 57",,11,,1, совмещенный,1, лоджия,,,,,
42,1,4,2600000,"Калининградская область, Калининград, р-н Центральный, улица Чайковского, 46",23,8,1945,1, совмещенный,,,Косметический,Кирпичный,Смешанные,Центральное,Центральное
39,4,7,2600000,"Калининградская область, Калининград, р-н Центральный, Чкаловск мкр, улица Лукашова",,,2015,1, совмещенный,1, лоджия,Евроремонт,,,,
42,2,4,2650000,"Калининградская область, Калининград, р-н Центральный, улица Чайковского",23,8.1,,1, совмещенный,,,Косметический,Кирпичный,,,
49.5,1,12,2650000,"Калининградская область, Калининград, р-н Центральный, Красная улица, 139Б",20.3,13,2016,1, совмещенный,1, балкон,Без ремонта,,,,
39,5,5,2700000,"Калининградская область, Калининград, р-н Центральный, Чкаловск мкр, улица Беланова",16,14,2008,1, совмещенный,1, балкон,Косметический,Кирпичный,,,
31,3,3,2700000,"Калининградская область, Калининград, р-н Центральный, Зоологическая улица, 53",15,8.4,1945,1, раздельный,,,Косметический,Кирпичный,Смешанные,Центральное,Центральное
45,3,7,2700000,"Калининградская область, Калининград, р-н Центральный, Чкаловск мкр, улица Мира",,11.5,2012,1, совмещенный,1, лоджия,Косметический,Кирпичный,,,
48.4,1,6,2750000,"Калининградская область, Калининград, р-н Центральный, улица Белинского, 61А",32,12.5,2008,1, совмещенный,1, балкон,Косметический,Кирпичный,Железобетонные,Центральное,Центральное
52.6,3,5,2750000,"Калининградская область, Калининград, р-н Центральный, улица Белинского",30,11,2006,1, совмещенный,1, балкон,Косметический,Кирпичный,,,
37,2,9,2770000,"Калининградская область, Калининград, р-н Центральный, улица Каблукова, 11А",16,9,,1, совмещенный,1, балкон,Евроремонт,,,,
39.5,3,6,2800000,"Калининградская область, Калининград, р-н Центральный, Старорусская улица, 29",27,9,2019,,,1, балкон,Без ремонта,,,,
36,6,16,2800000,"Калининградская область, Калининград, р-н Центральный, улица Каштановая Аллея, 169",16,9,2012,1, совмещенный,1, лоджия,Евроремонт,Блочный,Железобетонные,Центральное,
45,4,5,2860000,"Калининградская область, Калининград, р-н Центральный, Брусничная улица",19.6,12,2002,1, совмещенный,1, балкон,Косметический,Кирпичный,,,
40.6,6,6,2999900,"Калининградская область, Калининград, р-н Центральный, Старорусская улица, 29",17.4,9.4,2019,,,1, балкон,Без ремонта,,,,
34.8,1,4,2400000,"Калининградская область, Калининград, р-н Центральный, Осенняя улица, 30",18,9.5,2007,1, совмещенный,,,Косметический,Кирпичный,,Котел/Квартирное отопление,Центральное
46,5,5,2200000,"Калининградская область, Калининград, р-н Центральный, Сестрорецкая улица, 4",21.4,16.3,2015,1, совмещенный,1, балкон,Косметический,Кирпичный,Железобетонные,Котел/Квартирное отопление,Центральное
35,2,3,1500000,"Калининградская область, Калининград, р-н Центральный, Сестрорецкая улица",,,1945,,,,,Косметический,Кирпичный,,,
40,1,4,1840000,"Калининградская область, Калининград, р-н Центральный, улица Карташева, 40",,10.1,1961,1, совмещенный,1, лоджия,Косметический,Кирпичный,Железобетонные,Центральное,
30,4,5,1780000,"Калининградская область, Калининград, р-н Центральный, Бассейная улица, 51",16,6,1976,,,1, балкон,Косметический,,,,
12,1,5,990000,"Калининградская область, Калининград, р-н Центральный, Комсомольская улица",,,1996,,,,,Косметический,,,,
36.5,3,4,2000000,"Калининградская область, Калининград, р-н Центральный, улица Добролюбова, 25",16.2,11,1985,1, совмещенный,1, балкон,Без ремонта,Кирпичный,Железобетонные,Центральное,Центральное
33,3,5,1850000,"Калининградская область, Калининград, р-н Центральный, улица Дмитрия Донского",,,,1, совмещенный,1, балкон,Без ремонта,,,,
36.2,4,5,1900000,"Калининградская область, Калининград, р-н Центральный, Чкаловск мкр, улица Беланова",,,1995,1, раздельный,1, лоджия,Косметический,Панельный,,,
40,5,8,2450000,"Калининградская область, Калининград, р-н Центральный, улица Карташева, 46Ж",18,9,2017,1, совмещенный,1, лоджия,Косметический,Кирпичный,Железобетонные,Котел/Квартирное отопление,Центральное
37.1,4,5,1320000,"Калининградская область, Калининград, р-н Центральный, Балтийское шоссе",,,1997,,,1, балкон,Косметический,Кирпичный,,,
34,2,5,1500000,"Калининградская область, Калининград, р-н Центральный, Чкаловск мкр, улица Горбунова",,8,1995,1, раздельный,1, лоджия,Без ремонта,Панельный,,,
45.6,2,3,3100000,"Калининградская область, Калининград, р-н Центральный, проезд 1-й Октябрьский, 6",27.7,11.2,1945,1, совмещенный,,,Без ремонта,,,,
31,5,5,1850000,"Калининградская область, Калининград, р-н Центральный, улица Каштановая Аллея",,,,1, совмещенный,1, балкон,Евроремонт,,,,
34,5,5,1900000,"Калининградская область, Калининград, р-н Центральный, улица Каштановая Аллея",,,,,,,,Косметический,,,,
