Area,RoomFloor,TopFloor,Price,Address,RoomArea,KitchenArea,BuildDate,BathroomNum,BathroomType,BalconyNum,BalconyType,Repair,TypeofBuilding,TypeofMaterial,Heating,GasSupply
30.5,4,5,1350000,"Калининградская область, Калининград, р-н Московский, Дрожжевая улица, 12А",16.8,6.6,1973,1, раздельный,1, балкон,Косметический,,,,
31,3,5,2100000,"Калининградская область, Калининград, р-н Московский, улица Младшего лейтенанта Ротко, 9",18,7,1980,,,,,Евроремонт,Кирпичный,Смешанные,Центральное,Центральное
38,4,8,2399000,"Калининградская область, Калининград, р-н Московский, Минусинская улица, 21",18,8,2015,1, совмещенный,1, балкон,Евроремонт,Кирпичный,Железобетонные,Котел/Квартирное отопление,Центральное
28.4,1,5,1000000,"Калининградская область, Калининград, р-н Московский, улица Подполковника Емельянова, 52",15,6,1994,2, раздельных,,,Без ремонта,,,,
13,5,5,950000,"Калининградская область, Калининград, р-н Московский, Полоцкая улица, 12",,,1978,1, совмещенный,,,Без ремонта,,,,
32,3,5,1650000,"Калининградская область, Калининград, р-н Московский, улица Дзержинского, 72",16,6,1984,1, совмещенный,1, балкон,Без ремонта,Кирпичный,Смешанные,Центральное,Центральное
38,4,10,2200000,"Калининградская область, Калининград, р-н Московский, улица Аллея Смелых, 198",,10.5,2015,1, совмещенный,1, лоджия,Евроремонт,,,,
30,1,3,1750000,"Калининградская область, Калининград, р-н Московский, улица Аллея Смелых, 64",17.4,7.2,1945,1, совмещенный,,,Косметический,,,,
40,4,9,2450000,"Калининградская область, Калининград, р-н Московский, Иртышский переулок",19,12,2014,1, совмещенный,1, балкон,Косметический,Кирпичный,,,
32,1,5,1790000,"Калининградская область, Калининград, р-н Московский, улица Багратиона, 82",18,6,1967,,,,,,Блочный,Смешанные,Центральное,Центральное
31,3,5,1460000,"Калининградская область, Калининград, р-н Московский, Тихорецкая улица",,,1975,1, совмещенный,1, балкон,Косметический,Панельный,,,
36,11,14,1700000,"Калининградская область, Калининград, р-н Московский, Летняя улица",,,2018,1, совмещенный,1, лоджия,Косметический,Монолитный,,,
43,5,10,1999900,"Калининградская область, Калининград, р-н Московский, улица Олега Кошевого, 37",20,10,2020,1, совмещенный,1, лоджия,Без ремонта,,,,
23,5,5,1450000,"Калининградская область, Калининград, р-н Московский, Полоцкая улица, 10",18,,1971,1, раздельный,1, балкон,Косметический,Блочный,Смешанные,Центральное,
43,7,10,2350000,"Калининградская область, Калининград, р-н Московский, улица Дзержинского",,,2016,,,1, лоджия,Евроремонт,,,,
